"latitude","longitude","acc"
"41.4033374","2.1745757","10597"
"41.3952401","2.1619799","4830"
"41.3799452","2.1754754","4406"
"41.3853434","2.1700772","4227"
"41.3871428","2.1700772","3988"
"41.3916413","2.164679","3892"
"41.3817446","2.1718766","2709"
"41.4033374","2.173676","2696"
"41.4141338","2.1520832","2618"
"41.4141338","2.1529829","2150"
"41.374547","2.1691775","2119"
"41.4042371","2.1745757","1805"
"41.3844437","2.1763751","1727"
"41.383544","2.1673781","1690"
"41.383544","2.1835727","1621"
"41.3880425","2.1664784","1603"
"41.4132341","2.1529829","1573"
"41.3826443","2.1673781","1516"
"41.383544","2.1763751","1429"
"41.383544","2.1664784","1356"
"41.3880425","2.1700772","1350"
"41.3871428","2.1691775","1339"
"41.3826443","2.1772748","1305"
"41.3646503","2.155682","1291"
"41.4114347","2.2249589","1288"
"41.3799452","2.1745757","1202"
"41.3862431","2.1691775","1189"
"41.3844437","2.1754754","1067"
"41.3898419","2.1655787","1063"
"41.3808449","2.1223931","1063"
"41.3709482","2.1520832","1028"
"41.3826443","2.1664784","953"
"41.383544","2.1817733","950"
"41.3979392","2.1907703","945"
"41.3817446","2.1727763","904"
"41.3619512","2.1043991","898"
"41.36555","2.2258586","893"
"41.3628509","2.1043991","873"
"41.3871428","2.1763751","872"
"41.3691488","2.1529829","860"
"41.3862431","2.1700772","859"
"41.4033374","2.1727763","857"
"41.3547536","2.1277913","848"
"41.3844437","2.1772748","847"
"41.4042371","2.1862718","843"
"41.383544","2.1655787","840"
"41.3754467","2.1691775","786"
"41.3898419","2.1691775","784"
"41.3637506","2.1664784","730"
"41.3736473","2.1502838","728"
"41.3862431","2.164679","723"
"41.374547","2.1700772","718"
"41.3916413","2.1655787","699"
"41.3808449","2.1754754","691"
"41.3727476","2.1502838","691"
"41.4051368","2.155682","686"
"41.3637506","2.1529829","678"
"41.374547","2.1511835","678"
"41.3790455","2.1754754","659"
"41.383544","2.1772748","659"
"41.4042371","2.173676","657"
"41.4006383","2.1682778","655"
"41.3898419","2.1682778","649"
"41.4042371","2.1682778","647"
"41.3754467","2.1781745","633"
"41.3844437","2.1808736","626"
"41.4222311","2.1187943","620"
"41.3601518","2.0621132","602"
"41.4150335","2.1511835","602"
"41.3790455","2.1745757","590"
"41.4150335","2.1520832","580"
"41.3880425","2.1691775","579"
"41.3736473","2.1520832","578"
"41.3871428","2.1682778","578"
"41.3754467","2.1493841","563"
"41.3880425","2.1682778","559"
