spot,lat,lon
Aqí_educte romíæ. Servei dŒÇarqueologia de Barcelona,41.385314,2.174268
Arts Santa Mí_nica,41.377274,2.176031
Arxiu Fotogríæfic de Barcelona,41.386872,2.181822
Arxiu Histí_ric de la Ciutat de Barcelona,41.384095,2.175746
Biblioteca Pí_blica Arí_s,41.392986,2.178627
Blueproject Foundation,41.387241,2.182717
Caixaforum,41.371145,2.149387
Can Framis. Museu de pintura contemporíænia,41.402439,2.194967
Castell de Montjuí¿c,41.367565,2.168531
CCCB. Centre de Cultura Contemporíænia de Barcelona,41.383845,2.166866
Centre Cultural Metropolitíæ Tecla Sala,41.366783,2.115566
Cercle Artí_stic Sant Lluc,41.385997,2.17684
ColŒ‡leccií_ de Carrosses Fí_nebres,41.353043,2.150604
CosmoCaixa,41.4134701,2.1309682
El Born Centre Cultural,41.38591,2.1837
Espai MercíÂ Sala,41.395537,2.1590073
Estudi Fotogríæfic Centelles,41.4032616,2.1353519
Torre de les Aigí_es del Besí_s,41.4056,2.21227
Fabra i Coats. Centre dŒÇArt Contemporani de Barcelona,41.432946,2.190673
Filmoteca de Catalunya,41.378676,2.170958
Fundacií_ Antoni Tíæpies,41.3915132,2.1637411
Fundacií_ Arranz-Bravo,41.366808,2.115449
Fundacií_ Foto Colectania,41.39796,2.153088
Torre Bellesguard de Gaudí_,41.409052,2.126525
Fundacií_ Joan Mirí_,41.3686303,2.1598508
Fundacií_ Suí±ol,41.3955476,2.161176
La Capella,41.3806368,2.1701209
Fundacií_ Catalunya - La Pedrera,41.3954329,2.1619855
La Virreina Centre de la Imatge,41.3825295,2.1717344
MACBA. Museu dŒÇArt Contemporani de Barcelona,41.383191,2.166867
MAE. Centre de Documentacií_ i Museu de les Arts EscíÂniques (Institut del Teatre),41.3768313,2.1637127
MEAM. Museu Europeu dŒÇArt Modern,41.385045,2.180379
MUHBA Domus de Sant Honorat,41.3826039,2.175958
MUHBA El Call,41.3826489,2.1752649
MUHBA Plaí_a del rei,41.3841279,2.1773638
MUHBA Refugi 307,41.3714777,2.166681
MUHBA a la Porta de Mar de Barcino,41.3815216,2.1791516
MUHBA Temple dŒÇAugust,41.3833902,2.1771641
MUHBA Via Sepulcral Romana,41.3842599,2.1725463
MUHBA a la Fabra i Coats,41.43373,2.19078
MUHBA Casa del Guarda del Park Gí_ell,41.4134251,2.1531849
Muralla de mar. Servei dŒÇArqueologia.,41.383855,2.179217
Museu AGBAR de les aigí_es,41.355486,2.064293
Museu Can Tinturí©,41.3785635,2.086875
Museu dŒÇArqueologia de Catalunya,41.3701541,2.1576316
Museu dŒÇhistí_ria de Catalunya,41.3819981,2.1848662
Museu de Badalona. Casa dels Dofins,41.453333,2.245833
Museu de Badalona. Jardí_ de Quint Licini,41.5703433,2.0857695
Museu de Badalona. Termes i Decumanus,41.570553,2.0854157
Museu de Ceríæmica äóìLa Rajoletaäó,41.388389,2.117028
Museu de CiíÂncies Naturals de Barcelona - Museu Blau,41.39479,2.1487679
Museu de lŒÇHospitalet. Edifici Casa Espanya,41.3608626,2.0974803
Museu de lŒÇHospitalet. Edifici Harmonia,41.36094,2.097516
Museu de lŒÇHospitalet. Can Riera,41.3611399,2.09694
Museu de la Moto de Barcelona,41.38341,2.174464
Museu de la Mí_sica. LŒÇAuditori,41.3985335,2.1853844
Museu de la Xocolata,41.387752,2.181529
Museu del Disseny de Barcelona,41.4024679,2.1873965
Museu del Modernisme de Barcelona,41.3888865,2.1633761
Museu de Cultures del Mí_n de Barcelona,41.385026,2.180932
Museu Egipci de Barcelona,41.3936239,2.1647346
Museu F.C Barcelona,41.3793298,2.1196099
Museu Frederic MaríÂs,41.3841759,2.1767908
Museu Marí_tim de Barcelona,41.3760759,2.1755735
Museu Nacional dŒÇArt de Catalunya,41.3684399,2.15357
Museu Olí_mpic i de lŒÇEsport Joan Antoni Samaranch,41.3664337,2.1575552
Museu Picasso,41.3853269,2.1805247
Museu Torre Balldovina,41.446948,2.209324
Recinte Modernista de Sant Pau,41.4124091,2.1757796
Reial Monestir de Santa Maria de Pedralbes,41.3956792,2.1129035
Sala Ciutat,41.38244,2.177582
Teatre Museu el Rei de la Míægia,41.38848,2.17388
coleccií_n olorVisual,41.396223,2.128336
ColŒ‡leccií_ Opisso de la Fundacií_ Arqueolí_gica Clos,41.394005,2.153567
Gran Lí_gia Provincial de Catalunya,41.390441,2.169133
La Casa dels Entremesos,41.386187,2.176829
MUHBA Domus Avinyo,41.381174,2.176781
MUHBA Oliva Artí©s,41.410193,2.198159
Muralla Romana Sotstinent Navarro. Servei dŒÇarqueologia,41.382958,2.179461
Museu dŒÇHistoria de la Immagracií_ de Catalunya,41.425981,2.211453
Museu Palermo,41.424713,2.140155
