"user_id","total_pictures"
"42083039@N00","7427"
"11718030@N07","5720"
"84751239@N00","2438"
"62136333@N02","1816"
"33037982@N04","1704"
"17683298@N04","1701"
"29468649@N08","1625"
"52971398@N00","1539"
"58919164@N00","1537"
"36449657@N00","1317"
"56103274@N04","1129"
"29208923@N06","1079"
"63055421@N04","1057"
"44921934@N00","1049"
"97523510@N00","1040"
"60282023@N05","1031"
"42477684@N08","927"
"43904604@N06","926"
"33195950@N00","915"
"89979746@N04","888"
"63471394@N04","882"
"34662552@N08","849"
"42872607@N00","843"
"44124290694@N01","829"
"95464641@N00","811"
"58600460@N05","796"
"85855348@N00","792"
"61732101@N00","789"
"21570465@N03","788"
"58478677@N03","780"
"18086839@N00","766"
"36739893@N00","752"
"39329780@N07","750"
"36942983@N00","743"
"17876426@N05","738"
"50944224@N00","735"
"38053290@N08","721"
"63583119@N00","716"
"53523821@N00","715"
"34413129@N07","701"
"14878709@N00","691"
"73440891@N05","685"
"40683483@N07","684"
"39523645@N00","679"
"50537059@N03","677"
"52940781@N04","665"
"71665997@N00","647"
"11641695@N06","643"
"27776278@N07","633"
"24630636@N03","619"
"44125515@N04","616"
"23536504@N07","615"
"8801364@N04","603"
"24429508@N00","601"
"38208449@N00","596"
"61085800@N00","593"
"67878971@N07","589"
"42372838@N00","571"
"20792787@N00","566"
"86931652@N00","565"
"8202840@N06","563"
"27933131@N00","562"
"8160642@N02","560"
"46527925@N04","557"
"25467633@N00","556"
"12430951@N08","554"
"57956171@N00","552"
"33646230@N03","550"
"60814789@N00","549"
"10652225@N00","543"
"66762699@N00","541"
"65448940@N00","522"
"57107908@N07","521"
"56975113@N00","520"
"50589574@N00","520"
"45154017@N02","515"
"96947578@N00","513"
"90514086@N00","512"
"71668585@N00","508"
"8377440@N02","495"
"42568506@N07","489"
"64961227@N05","482"
"41336328@N05","482"
"36363694@N00","477"
"98551956@N00","474"
"38851323@N05","467"
"15386169@N06","465"
"43937964@N08","460"
"95564857@N05","459"
"51963363@N00","457"
"22077081@N06","452"
"25328583@N03","450"
"36330830531@N01","449"
"11117829@N08","444"
"41111966@N04","442"
"81851947@N00","442"
"16875651@N08","440"
"115792155@N07","440"
"10058483@N00","439"
"15834523@N00","438"
"71088059@N00","435"
"39384443@N00","430"
"19794625@N00","430"
"21071651@N06","426"
"7557790@N03","425"
"25072790@N00","423"
"43489439@N00","418"
"37804979@N00","417"
"42583704@N00","416"
"64215119@N00","413"
"22611810@N00","412"
"13359116@N03","412"
"12205799@N00","401"
"54862197@N00","399"
"76225887@N00","399"
"44460990@N04","398"
"19229064@N00","396"
"12612202@N04","395"
"25507134@N00","393"
"30713600@N00","393"
"26543993@N00","393"
"53400644@N05","384"
"27793158@N00","383"
"51989827@N00","383"
"44607107@N00","382"
"24717282@N00","382"
"35396334@N05","380"
"43162195@N00","379"
"42828263@N00","378"
"33857445@N00","376"
"47520422@N08","374"
"57004829@N03","373"
"9416818@N05","372"
"10247381@N02","371"
"56582107@N05","371"
"70103020@N00","371"
"79653482@N00","369"
"40120981@N05","367"
"37601286@N06","366"
"10018187@N08","365"
"7804404@N06","365"
"40425693@N00","363"
"62854051@N00","359"
"11198957@N08","359"
"12575147@N08","358"
"79805131@N08","355"
"44124404848@N01","355"
"72693550@N00","355"
"39174556@N00","354"
"9327746@N03","352"
"14242265@N00","350"
"61999697@N08","349"
"28695124@N04","349"
"77216119@N00","349"
"52736950@N00","349"
"60583132@N02","347"
"49787588@N00","347"
"87445659@N00","346"
"41754875@N00","343"
"108423427@N06","342"
"16101274@N00","339"
"58927646@N02","336"
"30616092@N07","334"
"62802091@N00","333"
"8715529@N07","325"
"23514496@N00","323"
"38983514@N00","316"
"72679966@N00","312"
"43006163@N03","311"
"57605688@N00","309"
"87845253@N00","307"
"42439038@N00","305"
"14003952@N04","304"
"28124016@N05","302"
"35230332@N05","302"
"11732444@N00","301"
"96407953@N00","300"
